,id,общая информация,Дата,Команда1,счет1,Команда2,счет2,Температура,Признак погоды,поб1,X,поб2,ТМ 2.5,ТБ 2.5,Матчи 1,Матчи 2,Отдых: дни (часы) 1,Отдых: дни (часы) 2,Победы 1,Победы 2,Ничьи 1,Ничьи 2,Поражения 1,Поражения 2,Забито голов 1,Забито голов 2,Пропущено голов 1,Пропущено голов 2,Забито голов за игру 1,Забито голов за игру 2,Пропущено голов за игру 1,Пропущено голов за игру 2,Сухие матчи 1,Сухие матчи 2,обе забьют 1,обе забьют 2,Тотал больше 2.5 1,Тотал больше 2.5 2,Тотал меньше 2.5 1,Тотал меньше 2.5 2,Удары 1,Удары 2,Удары  (соперник) 1,Удары  (соперник) 2,Удары в створ 1,Удары в створ 2,Удары в створ  (соперник) 1,Удары в створ  (соперник) 2,Владение 1,Владение 2,Владение  (соперник) 1,Владение  (соперник) 2,Угловые 1,Угловые 2,Угловые  (соперник) 1,Угловые  (соперник) 2,Нарушения 1,Нарушения 2,Нарушения  (соперник) 1,Нарушения  (соперник) 2,Офсайды 1,Офсайды 2,Офсайды  (соперник) 1,Офсайды  (соперник) 2,Желтые карточки 1,Желтые карточки 2,Желтые карточки  (соперник) 1,Желтые карточки  (соперник) 2,Красные карточки 1,Красные карточки 2,Красные карточки  (соперник) 1,Красные карточки  (соперник) 2
0,14919829,"Примера, 38-й тур, регулярный сезон, 19.07.2020 22:00",19.07.2020 22:00,Атлетико Мадрид,1,Реал Сосьедад,1,+11°C,переменная облачность,2.2,3.08,4.45,1.64,2.55,10,10,(71) 3.0,3.0 (71),70%   7,2   20%,30%   3,3   30%,0,5   50%,19,10,5,14,1.90,1.00,0.50,1.40,60%   6,1   10%,40%   4,7   70%,40%   4,5   50%,60%   6,5   50%,11.40,10.70,10.90,7.90,4.10,3.40,2.70,3.70,48.30,55.00,51.70,45.00,3.80,4.90,4.20,3.40,12.10,12.00,12.00,15.40,3.20,2.30,1.10,1.90,2.50,2.50,2.60,2.60,0.10,0.10,0.10,0.10
1,14919830,"Примера, 38-й тур, регулярный сезон, 19.07.2020 22:00",19.07.2020 22:00,Эспаньол,0,Сельта,0,+16°C,переменная облачность,5.85,3.96,1.73,1.95,2.04,10,10,(71) 3.0,3.0 (71),10%   1,2   20%,10%   1,4   40%,80%   8,4   40%,4,15,12,15,0.40,1.50,1.20,1.50,20%   2,3   30%,20%   2,6   60%,20%   2,5   50%,80%   8,5   50%,10.90,9.10,10.10,10.70,4.40,4.50,4.00,3.80,48.20,49.90,51.80,50.10,3.90,5.40,4.10,5.10,14.80,13.70,13.60,14.70,1.40,1.60,2.00,1.10,2.50,2.50,2.00,2.50,0.30,0.10,0.30,0.10
2,14919831,"Примера, 38-й тур, регулярный сезон, 19.07.2020 22:00",19.07.2020 22:00,Гранада,4,Атлетик,0,+8°C,ясно,1.79,4.0,5.15,1.89,2.11,10,10,(71) 3.0,3.0 (71),40%   4,4   40%,30%   3,2   20%,30%   3,4   40%,15,12,13,11,1.50,1.20,1.30,1.10,20%   2,2   20%,70%   7,5   50%,70%   7,4   40%,30%   3,6   60%,9.00,8.90,11.10,13.00,3.90,3.30,4.10,3.80,45.80,46.60,54.20,53.40,4.10,4.30,4.80,5.10,15.20,13.60,15.10,10.30,1.40,1.50,1.80,1.70,2.90,2.10,2.80,1.60,0,0.10,0.20,0
3,14919832,"Примера, 38-й тур, регулярный сезон, 19.07.2020 22:00",19.07.2020 22:00,Леганес,2,Реал Мадрид,2,+13°C,переменная облачность,3.2,3.9,2.31,2.12,1.88,10,10,(71) 3.0,3.0 (71),30%   3,10   100%,30%   3,0,40%   4,0,7,19,10,4,0.70,1.90,1.00,0.40,50%   5,6   60%,30%   3,4   40%,30%   3,5   50%,70%   7,5   50%,10.80,11.70,7.50,9.20,3.30,7.00,3.50,3.90,46.40,57.20,53.60,42.80,3.20,4.00,3.20,2.90,16.40,12.50,14.20,15.00,1.90,2.60,2.00,1.10,3.40,2.10,2.90,2.50,0.10,0,0.20,0.10
4,14919833,"Примера, 38-й тур, регулярный сезон, 19.07.2020 22:00",19.07.2020 22:00,Леванте,1,Хетафе,0,+12°C,ясно,7.7,4.85,1.5,2.3,1.76,10,10,(71) 3.0,3.0 (71),30%   3,1   10%,40%   4,5   50%,30%   3,4   40%,14,6,13,11,1.40,0.60,1.30,1.10,10%   1,3   30%,70%   7,5   50%,40%   4,3   30%,60%   6,7   70%,9.80,9.80,12.00,6.20,3.50,3.10,4.30,2.70,46.90,51.00,53.10,49.00,4.60,3.90,4.80,3.50,13.50,18.00,11.60,14.20,1.70,2.10,2.20,3.30,1.30,3.40,2.00,3.30,0.10,0.40,0.10,0.20
5,14919834,"Примера, 38-й тур, регулярный сезон, 19.07.2020 22:00",19.07.2020 22:00,Осасуна,2,Мальорка,2,+11°C,переменная облачность,1.72,4.33,5.25,2.46,1.68,10,10,(71) 3.0,3.0 (71),50%   5,2   20%,20%   2,1   10%,30%   3,7   70%,10,10,14,19,1.00,1.00,1.40,1.90,30%   3,1   10%,40%   4,4   40%,50%   5,5   50%,50%   5,5   50%,9.10,12.40,10.50,12.90,3.50,4.10,3.80,5.40,45.30,46.70,54.70,53.30,4.00,4.80,4.50,4.90,13.80,12.80,10.30,13.80,1.70,0.70,3.00,1.90,2.60,2.70,2.00,3.00,0.10,0.20,0,0
6,14919835,"Примера, 38-й тур, регулярный сезон, 19.07.2020 22:00",19.07.2020 22:00,Севилья,1,Валенсия,0,+15°C,ясно,1.78,4.35,4.7,2.55,1.64,10,10,(71) 3.0,3.0 (71),50%   5,3   30%,50%   5,2   20%,0,5   50%,14,8,5,13,1.40,0.80,0.50,1.30,60%   6,2   20%,40%   4,3   30%,30%   3,3   30%,70%   7,7   70%,11.10,7.80,11.00,14.10,4.70,2.60,3.60,5.50,55.60,51.90,44.40,48.10,5.90,3.80,4.40,5.20,12.20,10.30,15.00,13.80,2.00,3.20,1.30,1.90,2.20,1.60,2.10,1.90,0,0.30,0,0.20
7,14919836,"Примера, 38-й тур, регулярный сезон, 19.07.2020 19:30",19.07.2020 19:30,Вильярреал,4,Эйбар,0,+13°C,ясно,1.65,4.4,5.9,2.43,1.69,10,10,(68) 2.8,3.0 (71),60%   6,4   40%,10%   1,3   30%,30%   3,3   30%,15,12,11,11,1.50,1.20,1.10,1.10,50%   5,3   30%,50%   5,5   50%,50%   5,4   40%,50%   5,6   60%,9.70,11.40,10.50,9.50,4.00,4.80,4.50,4.50,48.70,47.00,51.30,53.00,2.80,5.70,4.70,5.90,13.50,13.80,12.40,11.70,1.40,1.30,2.40,2.10,1.70,1.90,2.20,1.60,0.10,0,0.40,0.10
8,14919837,"Примера, 38-й тур, регулярный сезон, 19.07.2020 19:30",19.07.2020 19:30,Реал Вальядолид,2,Бетис,0,+10°C,переменная облачность,2.95,3.7,2.54,2.28,1.77,10,10,(71) 3.0,2.8 (68),20%   2,2   20%,40%   4,2   20%,40%   4,6   60%,7,10,10,15,0.70,1.00,1.00,1.50,30%   3,2   20%,50%   5,4   40%,30%   3,4   40%,70%   7,6   60%,9.60,14.00,9.70,9.30,3.80,4.50,3.40,3.90,42.60,60.20,57.40,39.80,4.20,5.30,5.20,5.30,13.10,13.40,15.30,15.70,2.00,2.20,1.40,2.00,2.30,2.90,2.60,2.80,0,0.20,0,0.20
9,14919828,"Примера, 38-й тур, регулярный сезон, 19.07.2020 18:00",19.07.2020 18:00,Алавес,0,Барселона,5,+13°C,переменная облачность,8.8,5.15,1.44,2.68,1.59,10,10,(67) 2.8,2.8 (67),20%   2,6   60%,10%   1,3   30%,70%   7,1   10%,5,18,17,7,0.50,1.80,1.70,0.70,20%   2,6   60%,20%   2,4   40%,30%   3,5   50%,70%   7,5   50%,6.10,13.40,11.40,9.20,2.60,4.80,5.30,3.50,39.30,67.40,60.70,32.60,3.60,5.90,3.70,3.20,17.20,9.90,12.60,15.10,1.80,1.50,2.10,1.20,2.40,2.40,2.70,2.20,0.40,0.10,0.20,0.20
