,Unnamed: 0,id,общая информация,Дата,Команда1,счет1,Команда2,счет2,Температура,Признак погоды,поб1,X,поб2,ТМ 2.5,ТБ 2.5,Матчи 1,Матчи 2,Отдых: дни (часы) 1,Отдых: дни (часы) 2,Победы 1,Победы 2,Ничьи 1,Ничьи 2,Поражения 1,Поражения 2,Забито голов 1,Забито голов 2,Пропущено голов 1,Пропущено голов 2,Забито голов за игру 1,Забито голов за игру 2,Пропущено голов за игру 1,Пропущено голов за игру 2,Сухие матчи 1,Сухие матчи 2,обе забьют 1,обе забьют 2,Тотал больше 2.5 1,Тотал больше 2.5 2,Тотал меньше 2.5 1,Тотал меньше 2.5 2,Удары 1,Удары 2,Удары  (соперник) 1,Удары  (соперник) 2,Удары в створ 1,Удары в створ 2,Удары в створ  (соперник) 1,Удары в створ  (соперник) 2,Владение 1,Владение 2,Владение  (соперник) 1,Владение  (соперник) 2,Угловые 1,Угловые 2,Угловые  (соперник) 1,Угловые  (соперник) 2,Нарушения 1,Нарушения 2,Нарушения  (соперник) 1,Нарушения  (соперник) 2,Офсайды 1,Офсайды 2,Офсайды  (соперник) 1,Офсайды  (соперник) 2,Желтые карточки 1,Желтые карточки 2,Желтые карточки  (соперник) 1,Желтые карточки  (соперник) 2,Красные карточки 1,Красные карточки 2,Красные карточки  (соперник) 1,Красные карточки  (соперник) 2
523,523,14898191,"Бундеслига, 11-й тур, регулярный сезон, 09.11.2019 16:30",09.11.2019 16:30,Шальке,3,Фортуна Дюссельдорф,3,+19°C,солнечно,1.7,3.92,5.5,2.09,1.83,10,10,(140) 5.8,6.0 (143),60%   6,4   40%,20%   2,1   10%,20%   2,5   50%,22,16,14,13,2.2,1.6,1.4,1.3,20%   2,3   30%,70%   7,6   60%,70%   7,6   60%,30%   3,4   40%,14.2,14.33,10.9,12.22,5.5,4.78,3.8,4.78,55.67,49.44,44.33,50.56,6.5,4.44,3.5,4.89,12.78,12.33,12.11,16.11,3.11,1.89,1.89,1.44,1.8,2.33,1.6,2.56,0.0,0.0,0.0,0.11
524,524,14898193,"Бундеслига, 11-й тур, регулярный сезон, 09.11.2019 16:30",09.11.2019 16:30,Падерборн 07,0,Аугсбург,1,+21°C,солнечно,2.58,3.75,2.69,2.44,1.53,10,10,(186) 7.8,5.8 (140),10%   1,2   20%,10%   1,4   40%,80%   8,4   40%,10,15,24,19,1.0,1.5,2.4,1.9,10%   1,2   20%,50%   5,7   70%,70%   7,7   70%,30%   3,3   30%,11.33,10.5,14.11,13.4,4.89,4.4,6.56,4.7,51.67,40.6,48.33,59.4,6.22,2.9,5.22,5.0,12.25,12.56,11.13,11.0,1.75,1.67,1.88,2.22,1.67,2.1,1.67,1.4,0.0,0.1,0.0,0.1
525,525,14898192,"Бундеслига, 11-й тур, регулярный сезон, 08.11.2019 21:30",08.11.2019 21:30,Кёльн,1,Хоффенхайм,2,+24°C,солнечно,2.34,3.7,3.05,2.32,1.68,10,10,(124) 5.2,7.0 (167),30%   3,6   60%,10%   1,2   20%,60%   6,2   20%,15,16,19,12,1.5,1.6,1.9,1.2,20%   2,4   40%,40%   4,4   40%,70%   7,6   60%,30%   3,4   40%,12.9,12.1,12.7,13.6,5.2,4.6,3.8,4.5,49.3,49.1,50.7,50.9,5.7,4.0,5.4,6.7,14.56,12.1,13.78,11.9,1.67,1.90,1.33,2.50,1.9,1.6,1.9,2.1,0.2,0.0,0.0,0.2
526,526,14898183,"Бундеслига, 10-й тур, регулярный сезон, 03.11.2019 19:00",03.11.2019 19:00,Аугсбург,2,Шальке,3,+20°C,солнечно,4.35,4.05,1.82,2.4,1.64,10,10,(169) 7.0,4.8 (116),20%   2,5   50%,40%   4,2   20%,40%   4,3   30%,14,19,21,15,1.4,1.9,2.1,1.5,20%   2,2   20%,70%   7,6   60%,70%   7,7   70%,30%   3,3   30%,9.7,14.2,14.7,10.7,4.2,5.3,5.3,4.0,39.4,53.0,60.6,47.0,2.8,6.2,5.4,3.8,11.89,12.78,10.67,11.78,1.56,3.00,1.89,1.89,1.8,1.3,0.9,1.3,0.1,0.0,0.1,0.0
527,527,14898182,"Бундеслига, 10-й тур, регулярный сезон, 03.11.2019 16:30",03.11.2019 16:30,Фортуна Дюссельдорф,2,Кёльн,0,+24°C,солнечно,2.99,3.48,2.47,2.1,1.82,10,10,(89) 3.7,4.8 (116),30%   3,3   30%,10%   1,1   10%,60%   6,6   60%,15,16,16,20,1.5,1.6,1.6,2.0,20%   2,2   20%,70%   7,5   50%,70%   7,8   80%,30%   3,2   20%,14.67,13.1,12.44,13.4,5.11,5.3,5.44,4.1,48.11,47.0,51.89,53.0,4.22,6.0,5.0,5.9,12.78,13.67,15.11,13.67,2.0,1.67,1.33,1.44,2.56,1.8,2.44,1.9,0.0,0.2,0.11,0.0
528,528,14898184,"Бундеслига, 10-й тур, регулярный сезон, 02.11.2019 19:30",02.11.2019 19:30,Унион Берлин,1,Герта,0,+19°C,переменная облачность,2.66,3.46,2.77,1.98,1.92,10,10,(95) 4.0,2.8 (68),40%   4,4   40%,10%   1,2   20%,50%   5,4   40%,14,18,12,19,1.4,1.8,1.2,1.9,20%   2,1   10%,60%   6,7   70%,60%   6,9   90%,40%   4,1   10%,10.2,12.2,12.2,12.3,4.2,4.8,4.7,4.9,41.33,47.9,58.67,52.1,3.2,4.0,4.4,6.2,15.75,14.8,11.5,12.9,1.88,1.50,1.5,1.50,1.5,2.0,0.9,2.0,0.2,0.1,0.1,0.1
529,529,14898176,"Бундеслига, 10-й тур, регулярный сезон, 02.11.2019 16:30",02.11.2019 16:30,Боруссия Дортмунд,3,Вольфсбург,0,+22°C,солнечно,1.54,4.33,6.85,2.4,1.64,10,10,(65) 2.7,2.8 (68),40%   4,3   30%,50%   5,6   60%,10%   1,1   10%,15,12,9,13,1.5,1.2,0.9,1.3,50%   5,3   30%,40%   4,7   70%,50%   5,3   30%,50%   5,7   70%,10.9,10.7,10.5,10.8,4.9,4.2,3.4,4.4,52.0,50.67,48.0,49.33,6.0,4.7,5.1,4.3,10.0,13.89,11.0,13.89,2.1,2.33,2.1,1.11,1.5,1.8,2.1,1.8,0.0,0.0,0.0,0.0
530,530,14898177,"Бундеслига, 10-й тур, регулярный сезон, 02.11.2019 16:30",02.11.2019 16:30,РБ Лейпциг,8,Майнц,0,+23°C,солнечно,1.34,5.7,9.6,3.04,1.36,10,10,(68) 2.8,7.8 (186),40%   4,3   30%,30%   3,0,30%   3,7   70%,18,10,13,21,1.8,1.0,1.3,2.1,10%   1,0,80%   8,6   60%,60%   6,7   70%,40%   4,3   30%,14.2,14.2,11.6,14.6,5.6,4.7,4.6,6.6,50.6,48.5,49.4,51.5,4.5,5.2,4.3,5.9,11.8,14.5,9.6,11.1,2.2,1.10,3.1,0.60,1.8,2.5,1.6,2.2,0.1,0.1,0.0,0.0
531,531,14898178,"Бундеслига, 10-й тур, регулярный сезон, 02.11.2019 16:30",02.11.2019 16:30,Байер,1,Боруссия М,2,+20°C,солнечно,1.92,4.05,3.9,2.26,1.61,10,10,(89) 3.7,2.7 (65),30%   3,5   50%,20%   2,2   20%,50%   5,3   30%,10,18,16,13,1.0,1.8,1.6,1.3,30%   3,2   20%,30%   3,6   60%,60%   6,6   60%,40%   4,4   40%,15.1,11.9,8.9,12.9,5.1,5.3,4.3,4.6,63.0,53.6,37.0,46.4,5.6,6.3,2.2,5.6,12.4,13.5,11.2,13.9,2.3,3.10,2.8,1.90,1.2,2.2,1.3,2.3,0.0,0.0,0.1,0.0
532,532,14898179,"Бундеслига, 10-й тур, регулярный сезон, 02.11.2019 16:30",02.11.2019 16:30,Айнтрахт Франкфурт,5,Бавария,1,+26°C,солнечно,6.65,5.65,1.43,3.54,1.28,10,10,(65) 2.7,3.8 (90),50%   5,7   70%,20%   2,2   20%,30%   3,1   10%,17,28,17,13,1.7,2.8,1.7,1.3,20%   2,2   20%,70%   7,8   80%,90%   9,9   90%,10%   1,1   10%,13.56,20.7,12.22,9.9,5.11,8.0,5.11,4.3,52.33,63.4,47.67,36.6,5.56,8.0,4.0,4.2,14.44,9.1,11.22,11.8,2.56,1.20,1.67,1.50,2.11,1.5,1.44,1.7,0.11,0.0,0.0,0.2
