,id,общая информация,Дата,Команда1,счет1,Команда2,счет2,Температура,Признак погоды,поб1,X,поб2,ТМ 2.5,ТБ 2.5,Матчи 1,Матчи 2,Отдых: дни (часы) 1,Отдых: дни (часы) 2,Победы 1,Победы 2,Ничьи 1,Ничьи 2,Поражения 1,Поражения 2,Забито голов 1,Забито голов 2,Пропущено голов 1,Пропущено голов 2,Забито голов за игру 1,Забито голов за игру 2,Пропущено голов за игру 1,Пропущено голов за игру 2,Сухие матчи 1,Сухие матчи 2,обе забьют 1,обе забьют 2,Тотал больше 2.5 1,Тотал больше 2.5 2,Тотал меньше 2.5 1,Тотал меньше 2.5 2,Удары 1,Удары 2,Удары  (соперник) 1,Удары  (соперник) 2,Удары в створ 1,Удары в створ 2,Удары в створ  (соперник) 1,Удары в створ  (соперник) 2,Владение 1,Владение 2,Владение  (соперник) 1,Владение  (соперник) 2,Угловые 1,Угловые 2,Угловые  (соперник) 1,Угловые  (соперник) 2,Нарушения 1,Нарушения 2,Нарушения  (соперник) 1,Нарушения  (соперник) 2,Офсайды 1,Офсайды 2,Офсайды  (соперник) 1,Офсайды  (соперник) 2,Желтые карточки 1,Желтые карточки 2,Желтые карточки  (соперник) 1,Желтые карточки  (соперник) 2,Красные карточки 1,Красные карточки 2,Красные карточки  (соперник) 1,Красные карточки  (соперник) 2
0,1736589,"Премьер-Лига, 38-й тур, регулярный сезон, 28.05.2023 18:30",28.05.2023 18:30,Арсенал,5,Вулверхэмптон,0,+13°C,переменная облачность,1.26,6.35,10.0,2.99,1.35,10,10,(190) 7.9,8.0 (192),40%   4,4   40%,30%   3,2   20%,30%   3,4   40%,21,11,18,16,2.10,1.10,1.80,1.60,10%   1,4   40%,70%   7,4   40%,80%   8,3   30%,20%   2,7   70%,13.20,11.00,11.10,16.40,5.00,3.70,5.00,5.10,58.80,51.20,41.20,48.80,4.70,5.20,3.80,5.60,10.80,14.00,12.60,11.40,1.60,1.40,1.60,1.00,1.20,3.00,2.50,2.70,0,0.20,0,0
1,1736590,"Премьер-Лига, 38-й тур, регулярный сезон, 28.05.2023 18:30",28.05.2023 18:30,Астон Вилла,2,Брайтон,1,+10°C,дымка,1.84,4.1,3.82,2.53,1.47,10,10,(192) 8.0,3.8 (91),60%   6,5   50%,20%   2,1   10%,20%   2,4   40%,14,19,6,15,1.40,1.90,0.60,1.50,40%   4,4   40%,40%   4,6   60%,30%   3,7   70%,70%   7,3   30%,10.90,19.10,10.20,12.50,3.20,6.40,3.60,4.10,51.00,61.60,49.00,38.40,5.10,6.00,5.50,3.40,10.20,12.60,15.20,11.90,1.40,1.50,4.90,0.90,2.30,1.90,2.80,2.50,0,0,0.10,0
2,1736591,"Премьер-Лига, 38-й тур, регулярный сезон, 28.05.2023 18:30",28.05.2023 18:30,Брентфорд,1,Ман Сити,0,+11°C,солнечно,3.26,3.62,2.14,2.03,1.84,10,10,(195) 8.1,3.8 (91),40%   4,8   80%,20%   2,2   20%,40%   4,0,14,24,12,5,1.40,2.40,1.20,0.50,20%   2,5   50%,50%   5,5   50%,40%   4,7   70%,60%   6,3   30%,11.20,13.70,14.60,8.60,4.40,5.90,5.70,3.00,42.80,65.00,57.20,35.00,3.90,5.90,6.50,3.60,9.60,9.30,11.20,12.40,2.10,1.20,1.60,1.20,1.40,1.20,1.70,1.60,0,0,0,0
3,1736592,"Премьер-Лига, 38-й тур, регулярный сезон, 28.05.2023 18:30",28.05.2023 18:30,Челси,1,Ньюкасл,1,+13°C,переменная облачность,2.88,3.96,2.49,2.45,1.5,10,10,(67) 2.8,5.8 (139),10%   1,6   60%,10%   1,2   20%,80%   8,2   20%,8,26,20,13,0.80,2.60,2.00,1.30,0,1   10%,50%   5,7   70%,50%   5,8   80%,50%   5,2   20%,12.00,17.00,13.90,9.10,4.20,5.80,5.70,3.80,55.60,57.50,44.40,42.50,4.30,8.00,5.00,3.60,10.10,11.80,11.40,11.20,0.70,1.40,1.40,1.10,2.40,1.40,1.30,2.10,0.10,0,0,0.10
4,1736593,"Премьер-Лига, 38-й тур, регулярный сезон, 28.05.2023 18:30",28.05.2023 18:30,Кристал Пэлас,1,Ноттингем Форест,1,+13°C,переменная облачность,1.61,4.15,5.3,2.08,1.8,10,10,(192) 8.0,7.9 (190),50%   5,3   30%,20%   2,2   20%,30%   3,5   50%,18,15,14,18,1.80,1.50,1.40,1.80,30%   3,1   10%,50%   5,7   70%,50%   5,6   60%,50%   5,4   40%,14.10,9.50,9.10,15.20,4.70,3.10,3.70,5.30,51.30,28.50,48.70,71.50,6.60,3.50,4.30,6.50,10.90,12.70,12.50,9.80,1.30,2.40,1.90,1.50,1.70,2.30,2.80,1.70,0,0,0.10,0
5,1736594,"Премьер-Лига, 38-й тур, регулярный сезон, 28.05.2023 18:30",28.05.2023 18:30,Эвертон,1,Борнмут,0,+8°C,дымка,1.62,4.2,5.1,2.2,1.72,10,10,(192) 8.0,8.0 (192),10%   1,5   50%,50%   5,0,40%   4,5   50%,13,12,19,16,1.30,1.20,1.90,1.60,10%   1,2   20%,70%   7,4   40%,60%   6,5   50%,40%   4,5   50%,13.90,12.40,16.50,15.60,4.70,4.50,5.70,5.30,38.60,43.80,61.40,56.20,4.20,4.20,7.40,6.20,11.00,10.50,9.90,9.00,1.60,1.10,1.80,1.70,1.70,1.60,1.90,1.10,0.20,0,0.10,0
6,1736595,"Премьер-Лига, 38-й тур, регулярный сезон, 28.05.2023 18:30",28.05.2023 18:30,Лидс,1,Тоттенхэм,4,+9°C,дымка,2.77,3.84,2.33,2.45,1.5,10,10,(170) 7.1,8.1 (195),10%   1,2   20%,20%   2,3   30%,70%   7,5   50%,12,17,30,25,1.20,1.70,3.00,2.50,0,1   10%,100%   10,9   90%,90%   9,8   80%,10%   1,2   20%,11.50,13.20,14.90,14.00,4.10,4.60,5.70,5.30,41.50,48.80,58.50,51.20,4.20,4.70,5.50,5.60,12.70,11.20,10.40,10.50,1.80,2.50,3.20,1.30,2.40,2.10,1.30,1.80,0.10,0.10,0,0.10
7,1736596,"Премьер-Лига, 38-й тур, регулярный сезон, 28.05.2023 18:30",28.05.2023 18:30,Лестер Сити,2,Вест Хэм,1,+9°C,туман,2.0,3.96,3.35,2.48,1.49,10,10,(139) 5.8,7.1 (170),10%   1,6   60%,30%   3,0,60%   6,4   40%,11,19,20,14,1.10,1.90,2.00,1.40,10%   1,3   30%,70%   7,5   50%,70%   7,7   70%,30%   3,3   30%,10.40,12.40,18.50,15.10,4.50,5.10,5.50,4.50,41.80,39.70,58.20,60.30,3.40,5.10,6.70,5.40,11.70,8.00,12.80,8.40,3.00,1.00,2.00,1.90,2.10,0.90,1.80,1.20,0.10,0,0,0
8,1736597,"Премьер-Лига, 38-й тур, регулярный сезон, 28.05.2023 18:30",28.05.2023 18:30,Ман Юнайтед,2,Фулхэм,1,+10°C,переменная облачность,1.46,5.0,6.05,2.81,1.39,10,10,(67) 2.8,8.0 (192),60%   6,4   40%,10%   1,1   10%,30%   3,5   50%,12,16,8,14,1.20,1.60,0.80,1.40,50%   5,1   10%,20%   2,6   60%,30%   3,6   60%,70%   7,4   40%,18.40,11.00,13.20,12.10,6.30,3.60,3.80,5.10,53.70,53.40,46.30,46.60,5.80,5.50,5.70,5.00,10.80,11.20,9.10,12.20,1.90,2.00,1.00,2.00,2.20,1.40,1.30,2.00,0,0,0,0
9,1736598,"Премьер-Лига, 38-й тур, регулярный сезон, 28.05.2023 18:30",28.05.2023 18:30,Саутгемптон,4,Ливерпуль,4,+12°C,пасмурно,5.55,5.0,1.49,3.1,1.33,10,10,(169) 7.0,8.0 (192),0,7   70%,20%   2,3   30%,80%   8,0,12,23,26,10,1.20,2.30,2.60,1.00,0,4   40%,60%   6,6   60%,60%   6,6   60%,40%   4,4   40%,9.50,14.70,15.80,8.60,3.30,4.90,4.40,3.60,44.70,65.00,55.30,35.00,4.40,5.80,5.60,3.40,10.50,13.10,10.50,8.90,2.00,2.20,1.40,2.40,2.20,2.00,1.20,1.70,0,0,0,0
