,id,общая информация,Дата,Команда1,счет1,Команда2,счет2,Температура,Признак погоды,поб1,X,поб2,ТМ 2.5,ТБ 2.5,Матчи 1,Матчи 2,Отдых: дни (часы) 1,Отдых: дни (часы) 2,Победы 1,Победы 2,Ничьи 1,Ничьи 2,Поражения 1,Поражения 2,Забито голов 1,Забито голов 2,Пропущено голов 1,Пропущено голов 2,Забито голов за игру 1,Забито голов за игру 2,Пропущено голов за игру 1,Пропущено голов за игру 2,Сухие матчи 1,Сухие матчи 2,обе забьют 1,обе забьют 2,Тотал больше 2.5 1,Тотал больше 2.5 2,Тотал меньше 2.5 1,Тотал меньше 2.5 2,Удары 1,Удары 2,Удары  (соперник) 1,Удары  (соперник) 2,Удары в створ 1,Удары в створ 2,Удары в створ  (соперник) 1,Удары в створ  (соперник) 2,Владение 1,Владение 2,Владение  (соперник) 1,Владение  (соперник) 2,Угловые 1,Угловые 2,Угловые  (соперник) 1,Угловые  (соперник) 2,Нарушения 1,Нарушения 2,Нарушения  (соперник) 1,Нарушения  (соперник) 2,Офсайды 1,Офсайды 2,Офсайды  (соперник) 1,Офсайды  (соперник) 2,Желтые карточки 1,Желтые карточки 2,Желтые карточки  (соперник) 1,Желтые карточки  (соперник) 2,Красные карточки 1,Красные карточки 2,Красные карточки  (соперник) 1,Красные карточки  (соперник) 2
0,15148715,"Премьер-Лига, 38-й тур, регулярный сезон, 23.05.2021 18:00",23.05.2021 18:00,Арсенал,2,Брайтон,0,+10°C,местами небольшой дождь,1.7,4.25,4.95,2.26,1.71,10,10,(92) 3.8,4.8 (116),60%   6,4   40%,20%   2,3   30%,20%   2,3   30%,18,13,6,9,1.80,1.30,0.60,0.90,50%   5,4   40%,40%   4,5   50%,50%   5,5   50%,50%   5,5   50%,11.80,12.10,8.90,9.60,3.90,4.00,2.70,3.40,55.50,50.40,44.50,49.60,5.90,5.40,4.10,4.00,9.80,10.10,8.80,9.20,2.50,1.10,1.50,0.90,1.00,1.00,1.70,1.60,0.10,0.30,0.20,0.10
1,15148716,"Премьер-Лига, 38-й тур, регулярный сезон, 23.05.2021 18:00",23.05.2021 18:00,Астон Вилла,2,Челси,1,+8°C,небольшой дождь,7.2,5.0,1.46,2.42,1.63,10,10,(93) 3.9,4.8 (114),30%   3,6   60%,20%   2,2   20%,50%   5,2   20%,14,11,17,5,1.40,1.10,1.70,0.50,10%   1,5   50%,80%   8,3   30%,80%   8,2   20%,20%   2,8   80%,13.80,12.40,15.10,8.40,4.80,4.70,5.80,2.70,47.60,54.30,52.40,45.70,5.30,4.00,5.50,4.40,13.00,11.40,14.20,10.40,1.70,3.40,1.50,1.40,1.60,1.60,1.50,2.20,0.20,0,0.10,0.20
2,15148717,"Премьер-Лига, 38-й тур, регулярный сезон, 23.05.2021 18:00",23.05.2021 18:00,Фулхэм,0,Ньюкасл,2,+10°C,местами небольшой дождь,2.49,3.48,2.98,2.05,1.86,10,10,(117) 4.9,3.9 (93),10%   1,4   40%,20%   2,3   30%,70%   7,3   30%,6,17,18,18,0.60,1.70,1.80,1.80,10%   1,1   10%,50%   5,7   70%,40%   4,6   60%,60%   6,4   40%,9.40,10.90,11.60,16.50,3.40,4.30,5.00,6.00,47.50,37.60,52.50,62.40,5.10,3.70,5.40,5.80,12.60,9.20,11.00,10.00,1.50,1.50,3.50,1.60,1.70,1.40,0.80,1.40,0,0.10,0,0.10
3,15148718,"Премьер-Лига, 38-й тур, регулярный сезон, 23.05.2021 18:00",23.05.2021 18:00,Лидс,3,Вест Бромвич,1,+8°C,туман,1.57,4.75,5.65,2.54,1.49,10,10,(117) 4.9,3.8 (90),60%   6,2   20%,30%   3,3   30%,10%   1,5   50%,16,14,7,17,1.60,1.40,0.70,1.70,40%   4,2   20%,50%   5,6   60%,50%   5,7   70%,50%   5,3   30%,11.50,11.10,15.10,16.50,4.80,3.60,5.10,7.20,48.60,39.40,51.40,60.60,6.40,5.20,6.60,8.10,12.30,10.40,11.80,11.80,2.40,1.50,1.70,1.40,1.90,1.20,1.30,0.80,0.10,0,0,0.10
4,15148719,"Премьер-Лига, 38-й тур, регулярный сезон, 23.05.2021 18:00",23.05.2021 18:00,Лестер Сити,2,Тоттенхэм,4,+8°C,переменная облачность,1.84,4.33,4.35,2.44,1.53,10,10,(114) 4.8,3.9 (93),50%   5,4   40%,10%   1,2   20%,40%   4,4   40%,15,17,14,14,1.50,1.70,1.40,1.40,30%   3,3   30%,60%   6,6   60%,60%   6,7   70%,40%   4,3   30%,12.90,11.50,8.00,14.30,4.60,5.00,3.00,4.50,56.10,54.10,43.90,45.90,5.90,5.50,3.40,5.80,12.50,10.60,10.40,12.40,1.60,1.80,1.70,1.30,1.30,1.40,1.60,1.80,0,0,0.10,0
5,15148720,"Премьер-Лига, 38-й тур, регулярный сезон, 23.05.2021 18:00",23.05.2021 18:00,Ливерпуль,2,Кристал Пэлас,0,+9°C,ясно,1.16,9.2,18.5,3.4,1.3,10,10,(90) 3.8,3.8 (92),60%   6,3   30%,30%   3,1   10%,10%   1,6   60%,19,12,9,21,1.90,1.20,0.90,2.10,40%   4,2   20%,60%   6,7   70%,60%   6,6   60%,40%   4,4   40%,17.50,10.20,10.20,13.50,6.20,4.40,4.10,4.70,58.30,39.60,41.70,60.40,6.90,4.80,4.70,5.80,11.40,12.20,7.90,11.80,1.90,2.10,1.60,1.60,1.10,1.90,1.40,1.10,0,0,0,0
6,15148721,"Премьер-Лига, 38-й тур, регулярный сезон, 23.05.2021 18:00",23.05.2021 18:00,Ман Сити,5,Эвертон,0,+10°C,переменная облачность,1.31,6.65,11.25,2.74,1.43,10,10,(116) 4.8,3.9 (93),70%   7,3   30%,0,4   40%,30%   3,3   30%,18,7,12,8,1.80,0.70,1.20,0.80,30%   3,5   50%,60%   6,3   30%,60%   6,2   20%,40%   4,8   80%,14.36,12.44,9.73,12.67,4.45,4.44,3.09,3.56,60.00,45.44,40.00,54.56,6.55,4.78,3.45,6.67,10.82,9.33,10.27,10.56,0.91,1.22,2.00,1.11,1.64,1.22,1.73,1.56,0.18,0,0.27,0
7,15148722,"Премьер-Лига, 38-й тур, регулярный сезон, 23.05.2021 18:00",23.05.2021 18:00,Шеффилд Ютд,1,Бернли,0,+12°C,переменная облачность,2.79,3.64,2.55,2.06,1.85,10,10,(93) 3.9,3.8 (90),20%   2,3   30%,0,1   10%,80%   8,6   60%,3,14,20,19,0.30,1.40,2.00,1.90,20%   2,2   20%,10%   1,6   60%,40%   4,8   80%,60%   6,2   20%,7.10,11.90,15.90,15.50,1.70,4.60,6.50,4.60,41.10,41.50,58.90,58.50,3.60,5.50,6.80,6.20,11.00,8.80,8.20,9.70,1.50,1.60,1.60,2.20,1.70,1.30,0.60,0.70,0,0,0,0
8,15148723,"Премьер-Лига, 38-й тур, регулярный сезон, 23.05.2021 18:00",23.05.2021 18:00,Вест Хэм,3,Саутгемптон,0,+10°C,местами небольшой дождь,1.81,3.8,4.8,2.14,1.79,10,10,(90) 3.8,4.9 (117),40%   4,4   40%,20%   2,1   10%,40%   4,5   50%,17,14,16,15,1.70,1.40,1.60,1.50,0,1   10%,70%   7,5   50%,60%   6,6   60%,40%   4,4   40%,12.50,12.20,13.60,11.40,3.80,4.90,4.60,4.90,47.40,49.30,52.60,50.70,4.00,5.40,4.90,5.70,8.40,10.90,9.10,12.00,1.70,1.40,1.30,2.20,1.50,1.00,2.10,1.20,0.20,0.10,0,0
9,15148724,"Премьер-Лига, 38-й тур, регулярный сезон, 23.05.2021 18:00",23.05.2021 18:00,Вулверхэмптон,1,Ман Юнайтед,2,+7°C,ясно,2.43,3.28,3.25,1.65,2.38,10,10,(93) 3.9,4.9 (117),30%   3,5   50%,20%   2,2   20%,50%   5,3   30%,7,23,13,15,0.70,2.30,1.30,1.50,30%   3,2   20%,30%   3,8   80%,30%   3,7   70%,70%   7,3   30%,12.00,13.40,11.10,11.00,4.50,5.60,4.80,4.80,54.30,56.70,45.70,43.30,5.60,4.70,4.70,3.90,10.70,12.60,10.70,13.10,1.30,1.90,1.80,1.50,0.90,1.90,1.50,1.80,0,0,0.20,0.10
10,15148706,"Премьер-Лига, 37-й тур, регулярный сезон, 19.05.2021 22:15",19.05.2021 22:15,Бернли,0,Ливерпуль,3,+8°C,переменная облачность,10.5,6.5,1.29,3.04,1.36,10,10,(102) 4.3,3.1 (74),30%   3,6   60%,20%   2,3   30%,50%   5,1   10%,15,17,17,9,1.50,1.70,1.70,0.90,20%   2,4   40%,70%   7,6   60%,70%   7,5   50%,30%   3,5   50%,12.10,16.70,15.10,10.10,4.90,6.30,4.80,4.20,41.40,57.10,58.60,42.90,5.40,6.40,6.30,4.40,8.30,11.70,10.20,8.50,1.80,2.00,2.40,1.80,1.30,1.20,0.90,1.60,0,0,0,0
11,15148714,"Премьер-Лига, 37-й тур, регулярный сезон, 19.05.2021 22:15",19.05.2021 22:15,Вест Бромвич,1,Вест Хэм,3,+9°C,туман,5.25,4.4,1.65,2.34,1.67,10,10,(74) 3.1,4.0 (95),20%   2,4   40%,30%   3,2   20%,50%   5,4   40%,13,16,15,15,1.30,1.60,1.50,1.50,20%   2,1   10%,50%   5,6   60%,60%   6,5   50%,40%   4,5   50%,10.80,12.00,15.50,13.90,3.50,3.40,6.60,4.60,39.00,46.20,61.00,53.80,4.90,3.80,7.60,4.90,10.50,8.20,11.40,9.20,1.60,1.70,1.50,1.20,1.30,1.40,0.70,2.00,0,0.20,0.10,0
12,15148708,"Премьер-Лига, 37-й тур, регулярный сезон, 19.05.2021 21:00",19.05.2021 21:00,Кристал Пэлас,1,Арсенал,3,+10°C,местами небольшой дождь,6.05,4.2,1.61,1.92,1.98,10,10,(78) 3.3,6.9 (165),30%   3,5   50%,20%   2,3   30%,50%   5,2   20%,11,16,18,6,1.10,1.60,1.80,0.60,30%   3,5   50%,60%   6,4   40%,50%   5,4   40%,50%   5,6   60%,9.80,12.30,13.90,8.70,4.00,3.80,4.50,2.50,40.30,54.00,59.70,46.00,4.60,5.70,5.70,3.80,11.90,10.10,12.40,9.70,1.90,2.30,1.60,1.20,1.80,0.90,1.00,1.60,0,0.10,0,0.20
