,id,общая информация,Дата,Команда1,счет1,Команда2,счет2,Температура,Признак погоды,поб1,X,поб2,ТМ 2.5,ТБ 2.5,Матчи 1,Матчи 2,Отдых: дни (часы) 1,Отдых: дни (часы) 2,Победы 1,Победы 2,Ничьи 1,Ничьи 2,Поражения 1,Поражения 2,Забито голов 1,Забито голов 2,Пропущено голов 1,Пропущено голов 2,Забито голов за игру 1,Забито голов за игру 2,Пропущено голов за игру 1,Пропущено голов за игру 2,Сухие матчи 1,Сухие матчи 2,обе забьют 1,обе забьют 2,Тотал больше 2.5 1,Тотал больше 2.5 2,Тотал меньше 2.5 1,Тотал меньше 2.5 2,Удары 1,Удары 2,Удары  (соперник) 1,Удары  (соперник) 2,Удары в створ 1,Удары в створ 2,Удары в створ  (соперник) 1,Удары в створ  (соперник) 2,Владение 1,Владение 2,Владение  (соперник) 1,Владение  (соперник) 2,Угловые 1,Угловые 2,Угловые  (соперник) 1,Угловые  (соперник) 2,Нарушения 1,Нарушения 2,Нарушения  (соперник) 1,Нарушения  (соперник) 2,Офсайды 1,Офсайды 2,Офсайды  (соперник) 1,Офсайды  (соперник) 2,Желтые карточки 1,Желтые карточки 2,Желтые карточки  (соперник) 1,Желтые карточки  (соперник) 2,Красные карточки 1,Красные карточки 2,Красные карточки  (соперник) 1,Красные карточки  (соперник) 2
0,15347187,"Примера, 38-й тур, регулярный сезон, 22.05.2022 23:00",22.05.2022 23:00,Барселона,0,Вильярреал,2,+15°C,солнечно,2.1,3.96,3.66,2.41,1.54,10,10,(169) 7.0,7.0 (169),50%   5,3   30%,20%   2,3   30%,30%   3,4   40%,14,16,11,14,1.40,1.60,1.10,1.40,20%   2,1   10%,60%   6,8   80%,50%   5,5   50%,50%   5,5   50%,12.10,9.50,10.20,13.40,4.20,4.40,4.30,4.20,64.70,50.20,35.30,49.80,5.40,3.80,3.60,4.70,10.90,11.10,12.00,13.60,3.10,2.70,2.10,2.80,2.30,2.30,2.50,2.40,0,0.10,0.30,0
1,15347191,"Примера, 38-й тур, регулярный сезон, 22.05.2022 23:00",22.05.2022 23:00,Реал Сосьедад,1,Атлетико Мадрид,2,+14°C,переменная облачность,2.74,3.38,2.92,1.74,2.34,10,10,(169) 7.0,7.0 (169),50%   5,4   40%,30%   3,3   30%,20%   2,3   30%,11,10,6,7,1.10,1.00,0.60,0.70,50%   5,4   40%,40%   4,3   30%,40%   4,2   20%,60%   6,8   80%,13.20,11.70,11.40,10.30,4.90,3.00,2.90,2.80,55.50,48.70,44.50,51.30,5.30,4.70,5.40,4.20,13.30,12.20,11.60,12.50,2.20,2.50,2.90,1.00,2.40,2.90,2.40,3.20,0.10,0.20,0,0
2,15347192,"Примера, 38-й тур, регулярный сезон, 22.05.2022 23:00",22.05.2022 23:00,Севилья,1,Атлетик,0,+21°C,переменная облачность,2.78,3.34,2.64,1.72,2.25,10,10,(169) 7.0,7.0 (169),20%   2,4   40%,50%   5,3   30%,30%   3,3   30%,12,11,13,9,1.20,1.10,1.30,0.90,20%   2,3   30%,60%   6,4   40%,30%   3,2   20%,70%   7,8   80%,11.20,12.30,14.20,9.90,3.70,5.20,4.90,3.30,56.10,50.10,43.90,49.90,4.70,5.50,5.50,3.90,11.60,13.20,12.20,15.80,1.30,2.40,1.70,1.60,2.60,2.60,2.80,2.90,0,0.20,0,0.40
3,15347186,"Примера, 38-й тур, регулярный сезон, 22.05.2022 21:00",22.05.2022 21:00,Алавес,0,Кадис,1,+16°C,переменная облачность,4.85,3.95,1.73,2.0,1.9,10,10,(167) 7.0,7.0 (167),30%   3,3   30%,0,3   30%,70%   7,4   40%,11,11,21,12,1.10,1.10,2.10,1.20,10%   1,4   40%,70%   7,5   50%,80%   8,5   50%,20%   2,5   50%,10.67,13.90,13.00,9.50,3.89,4.80,4.78,4.50,42.56,45.10,57.44,54.90,4.67,6.20,5.56,3.00,10.89,13.20,12.44,13.80,1.33,3.00,2.33,1.40,3.22,2.50,3.00,2.60,0.22,0.10,0.33,0.30
4,15347188,"Примера, 38-й тур, регулярный сезон, 22.05.2022 21:00",22.05.2022 21:00,Гранада,0,Эспаньол,0,+17°C,переменная облачность,1.42,4.85,7.8,2.38,1.65,10,10,(167) 7.0,8.0 (192),40%   4,2   20%,30%   3,3   30%,30%   3,5   50%,21,7,17,13,2.10,0.70,1.70,1.30,30%   3,2   20%,60%   6,5   50%,60%   6,3   30%,40%   4,7   70%,13.56,9.60,14.00,14.10,4.67,3.00,5.11,4.60,43.67,46.90,56.33,53.10,5.00,3.60,6.44,6.60,12.67,12.00,10.78,15.50,2.00,1.00,1.11,1.90,3.11,3.00,2.56,2.60,0.22,0.10,0.22,0.10
5,15347189,"Примера, 38-й тур, регулярный сезон, 22.05.2022 21:00",22.05.2022 21:00,Осасуна,0,Мальорка,2,+13°C,переменная облачность,3.3,3.1,2.42,1.82,2.1,10,10,(167) 7.0,7.0 (167),30%   3,3   30%,30%   3,1   10%,40%   4,6   60%,11,8,18,18,1.10,0.80,1.80,1.80,10%   1,2   20%,70%   7,4   40%,50%   5,6   60%,50%   5,4   40%,11.10,10.40,14.60,12.60,3.30,3.20,5.30,3.80,48.10,41.20,51.90,58.80,5.20,2.50,5.80,5.00,12.20,15.30,10.10,13.20,2.30,0.90,1.90,2.10,2.00,2.90,1.70,3.10,0,0.10,0.10,0
6,15347195,"Примера, 38-й тур, регулярный сезон, 22.05.2022 18:30",22.05.2022 18:30,Эльче,3,Хетафе,1,+23°C,солнечно,3.24,2.82,2.66,1.55,2.39,10,10,(165) 6.9,6.9 (165),30%   3,2   20%,10%   1,6   60%,60%   6,2   20%,8,6,12,6,0.80,0.60,1.20,0.60,30%   3,6   60%,30%   3,3   30%,40%   4,1   10%,60%   6,9   90%,8.60,10.60,13.80,11.90,1.70,3.00,4.50,3.50,49.60,38.90,50.40,61.10,4.30,3.40,4.70,5.10,15.10,14.60,13.10,13.50,2.40,1.20,3.30,2.50,2.90,3.40,2.30,2.60,0.20,0.30,0.10,0.10
7,15347193,"Примера, 38-й тур, регулярный сезон, 21.05.2022 18:30",21.05.2022 18:30,Валенсия,2,Сельта,0,+24°C,переменная облачность,2.61,3.48,2.72,2.05,1.86,10,10,(166) 6.9,5.9 (141),10%   1,3   30%,50%   5,2   20%,40%   4,5   50%,6,10,11,10,0.60,1.00,1.10,1.00,30%   3,4   40%,50%   5,3   30%,20%   2,3   30%,80%   8,7   70%,9.70,11.10,10.60,9.40,2.70,4.40,4.00,2.90,44.10,55.10,55.90,44.90,4.00,5.30,4.00,3.10,15.40,12.80,16.90,12.20,1.90,2.40,3.60,1.20,2.80,1.70,3.20,2.30,0.20,0.10,0.20,0.10
8,15347190,"Примера, 38-й тур, регулярный сезон, 20.05.2022 22:00",20.05.2022 22:00,Реал Мадрид,0,Бетис,0,+16°C,переменная облачность,1.55,4.95,5.2,3.26,1.32,10,10,(120) 5.0,5.0 (120),60%   6,5   50%,10%   1,3   30%,30%   3,2   20%,27,13,13,6,2.70,1.30,1.30,0.60,30%   3,5   50%,60%   6,4   40%,70%   7,4   40%,30%   3,6   60%,16.70,12.50,16.00,11.90,7.30,3.90,4.20,3.30,55.60,55.80,44.40,44.20,4.40,3.90,5.80,6.00,10.20,12.00,12.60,15.50,1.80,2.60,1.50,4.30,2.80,2.00,2.50,2.10,0,0.10,0,0.10
9,15347194,"Примера, 38-й тур, регулярный сезон, 20.05.2022 22:00",20.05.2022 22:00,Райо Вальекано,2,Леванте,4,+16°C,переменная облачность,1.83,4.1,4.1,2.43,1.53,10,10,(120) 5.0,5.0 (120),20%   2,4   40%,40%   4,2   20%,40%   4,4   40%,8,18,13,20,0.80,1.80,1.30,2.00,30%   3,1   10%,50%   5,8   80%,30%   3,7   70%,70%   7,3   30%,12.50,15.40,11.20,14.20,3.20,5.00,4.80,5.20,49.10,49.30,50.90,50.70,6.00,4.90,4.60,5.30,13.40,13.20,12.70,10.10,1.60,2.10,1.40,1.90,3.40,2.70,3.00,2.90,0.20,0,0.10,0.30
