,id,общая информация,Дата,Команда1,счет1,Команда2,счет2,xG1,xG2,Удары1,Удары2,Удары в створ1,Удары в створ2,Сейвы1,Сейвы2,Владение %1,Владение %2,Угловые1,Угловые2,Нарушения1,Нарушения2,Офсайды1,Офсайды2,Желтые карточки1,Желтые карточки2,Красные карточки1,Красные карточки2,Атаки1,Атаки2,Опасные атаки1,Опасные атаки2,Передачи1,Передачи2,Точность передач %1,Точность передач %2,Штрафные удары1,Штрафные удары2,Вбрасывания1,Вбрасывания2,Навесы1,Навесы2,Температура,Признак погоды,дата ПМ1,Пголы1,Пза матч1,Ппобед1,Пничьи1,Ппорож1,дата ПМ2,Пголы2,Пза матч2,Ппобед2,Пничьи2,Ппорож2,поб1,X,поб2,ТМ 2.5,ТБ 2.5
134,1736969,"Бундеслига, 34-й тур, регулярный сезон, 27.05.2023 16:30",27.05.2023 16:30,Кёльн,1,Бавария,2,1.78,0.91,9.0,11.0,3.0,3.0,1.0,2.0,46.0,54.0,7.0,3.0,11.0,8.0,0.0,2.0,3.0,0.0,0.0,0.0,108.0,113.0,54.0,31.0,405.0,488.0,82.0,83.0,9.0,10.0,30.0,22.0,26.0,9.0,+24°C,солнечно,"20.05, 16:30",11.0,2.2,3.0,1.0,1.0,"20.05, 19:30",12.0,2.4,3.0,0.0,2.0,5.4,5.2,1.46,3.45,1.3
135,1736970,"Бундеслига, 34-й тур, регулярный сезон, 27.05.2023 16:30",27.05.2023 16:30,Бохум,3,Байер,0,1.35,0.69,10.0,11.0,5.0,2.0,2.0,2.0,52.0,48.0,2.0,5.0,12.0,12.0,1.0,2.0,5.0,5.0,0.0,1.0,115.0,84.0,55.0,38.0,332.0,331.0,78.0,69.0,14.0,12.0,16.0,32.0,16.0,12.0,+21°C,солнечно,"20.05, 16:30",6.0,1.2,1.0,2.0,2.0,"21.05, 20:30",4.0,0.8,0.0,3.0,2.0,4.1,4.3,1.72,2.9,1.4
136,1736971,"Бундеслига, 34-й тур, регулярный сезон, 27.05.2023 16:30",27.05.2023 16:30,Айнтрахт Франкфурт,2,Фрайбург,1,3.27,1.11,14.0,13.0,8.0,7.0,6.0,6.0,58.0,42.0,3.0,6.0,13.0,10.0,1.0,2.0,4.0,2.0,0.0,0.0,119.0,85.0,49.0,32.0,529.0,354.0,84.0,75.0,14.0,14.0,23.0,15.0,21.0,11.0,+24°C,солнечно,"20.05, 16:30",10.0,2.0,2.0,2.0,1.0,"19.05, 21:30",6.0,1.2,2.0,0.0,3.0,2.09,3.9,3.1,2.5,1.51
137,1736972,"Бундеслига, 34-й тур, регулярный сезон, 27.05.2023 16:30",27.05.2023 16:30,Боруссия Дортмунд,2,Майнц,2,2.82,1.6,30.0,10.0,12.0,4.0,2.0,10.0,64.0,36.0,6.0,3.0,5.0,14.0,1.0,0.0,1.0,1.0,0.0,0.0,165.0,64.0,119.0,44.0,647.0,227.0,91.0,71.0,14.0,7.0,23.0,18.0,63.0,10.0,+21°C,солнечно,"21.05, 18:30",19.0,3.8,4.0,1.0,0.0,"21.05, 16:30",6.0,1.2,1.0,0.0,4.0,1.21,7.4,10.0,4.3,1.21
138,1736973,"Бундеслига, 34-й тур, регулярный сезон, 27.05.2023 16:30",27.05.2023 16:30,Штутгарт,1,Хоффенхайм,1,2.58,0.82,19.0,8.0,4.0,2.0,2.0,3.0,57.0,43.0,9.0,2.0,12.0,10.0,1.0,2.0,0.0,0.0,0.0,0.0,131.0,76.0,57.0,21.0,563.0,409.0,86.0,79.0,13.0,12.0,25.0,16.0,34.0,10.0,+22°C,солнечно,"21.05, 16:30",10.0,2.0,2.0,1.0,2.0,"20.05, 16:30",9.0,1.8,2.0,0.0,3.0,1.5,4.7,5.4,2.7,1.45
139,1736974,"Бундеслига, 34-й тур, регулярный сезон, 27.05.2023 16:30",27.05.2023 16:30,Боруссия М,2,Аугсбург,0,2.93,0.89,17.0,9.0,7.0,3.0,3.0,5.0,66.0,34.0,4.0,4.0,5.0,19.0,4.0,2.0,0.0,1.0,0.0,1.0,124.0,48.0,63.0,30.0,790.0,253.0,92.0,77.0,22.0,9.0,10.0,17.0,13.0,12.0,+23°C,солнечно,"21.05, 20:30",7.0,1.4,1.0,1.0,3.0,"21.05, 18:30",5.0,1.0,1.0,2.0,2.0,2.01,3.85,3.3,2.85,1.41
140,1736975,"Бундеслига, 34-й тур, регулярный сезон, 27.05.2023 16:30",27.05.2023 16:30,Вольфсбург,1,Герта,2,2.9,1.9,19.0,9.0,9.0,5.0,3.0,8.0,61.0,39.0,7.0,3.0,9.0,18.0,2.0,1.0,1.0,5.0,0.0,0.0,149.0,60.0,76.0,17.0,569.0,308.0,83.0,77.0,19.0,11.0,29.0,12.0,21.0,7.0,+21°C,солнечно,"19.05, 21:30",10.0,2.0,3.0,0.0,2.0,"20.05, 16:30",7.0,1.4,1.0,1.0,3.0,1.23,6.8,9.8,3.6,1.28
141,1736976,"Бундеслига, 34-й тур, регулярный сезон, 27.05.2023 16:30",27.05.2023 16:30,РБ Лейпциг,4,Шальке,2,3.4,1.74,19.0,16.0,12.0,4.0,2.0,8.0,53.0,47.0,4.0,5.0,13.0,11.0,2.0,0.0,2.0,2.0,0.0,0.0,80.0,113.0,38.0,56.0,397.0,348.0,79.0,79.0,11.0,16.0,15.0,22.0,3.0,25.0,+22°C,солнечно,"20.05, 19:30",12.0,2.4,5.0,0.0,0.0,"20.05, 16:30",7.0,1.4,2.0,1.0,2.0,1.51,4.9,5.0,3.35,1.31
142,1736977,"Бундеслига, 34-й тур, регулярный сезон, 27.05.2023 16:30",27.05.2023 16:30,Унион Берлин,1,Вердер,0,1.29,0.43,16.0,7.0,4.0,4.0,4.0,3.0,49.0,51.0,15.0,1.0,9.0,10.0,3.0,1.0,1.0,3.0,0.0,0.0,116.0,101.0,89.0,23.0,356.0,441.0,73.0,79.0,11.0,12.0,26.0,11.0,44.0,9.0,+23°C,солнечно,"20.05, 16:30",7.0,1.4,2.0,1.0,2.0,"20.05, 16:30",8.0,1.6,1.0,1.0,3.0,1.48,4.6,6.0,2.32,1.59
143,1736978,"Бундеслига, 1-й тур, регулярный сезон, 05.08.2022 21:35",05.08.2022 21:35,Айнтрахт Франкфурт,1,Бавария,6,1.74,4.31,8.0,23.0,2.0,10.0,4.0,1.0,40.0,60.0,5.0,6.0,10.0,11.0,4.0,3.0,2.0,0.0,0.0,0.0,81.0,134.0,41.0,46.0,373.0,637.0,78.0,88.0,11.0,15.0,15.0,9.0,16.0,14.0,+24°C,солнечно,"01.08.22, 21:46",13.0,2.6,4.0,1.0,0.0,"30.07.22, 21:30",15.0,3.0,2.0,2.0,1.0,6.5,5.4,1.51,2.92,1.36
