,id,общая информация,Дата,Команда1,счет1,Команда2,счет2,Температура,Признак погоды,поб1,X,поб2,ТМ 2.5,ТБ 2.5,Матчи 1,Матчи 2,Отдых: дни (часы) 1,Отдых: дни (часы) 2,Победы 1,Победы 2,Ничьи 1,Ничьи 2,Поражения 1,Поражения 2,Забито голов 1,Забито голов 2,Пропущено голов 1,Пропущено голов 2,Забито голов за игру 1,Забито голов за игру 2,Пропущено голов за игру 1,Пропущено голов за игру 2,Сухие матчи 1,Сухие матчи 2,обе забьют 1,обе забьют 2,Тотал больше 2.5 1,Тотал больше 2.5 2,Тотал меньше 2.5 1,Тотал меньше 2.5 2,Удары 1,Удары 2,Удары  (соперник) 1,Удары  (соперник) 2,Удары в створ 1,Удары в створ 2,Удары в створ  (соперник) 1,Удары в створ  (соперник) 2,Владение 1,Владение 2,Владение  (соперник) 1,Владение  (соперник) 2,Угловые 1,Угловые 2,Угловые  (соперник) 1,Угловые  (соперник) 2,Нарушения 1,Нарушения 2,Нарушения  (соперник) 1,Нарушения  (соперник) 2,Офсайды 1,Офсайды 2,Офсайды  (соперник) 1,Офсайды  (соперник) 2,Желтые карточки 1,Желтые карточки 2,Желтые карточки  (соперник) 1,Желтые карточки  (соперник) 2,Красные карточки 1,Красные карточки 2,Красные карточки  (соперник) 1,Красные карточки  (соперник) 2
0,15345951,"Лига 1, 23-й тур, регулярный сезон, 05.02.2022 22:00",05.02.2022 22:00,Монако,2,Лион,0,+23°C,солнечно,2.21,3.64,3.65,2.16,1.85,10,10,(143) 6.0,4.0 (95),60%   6,4   40%,20%   2,5   50%,20%   2,1   10%,22,11,10,8,2.20,1.10,1.00,0.80,40%   4,4   40%,50%   5,6   60%,60%   6,3   30%,40%   4,7   70%,12.70,14.00,12.50,9.60,5.10,4.50,4.50,2.80,56.10,57.10,43.90,42.90,5.80,5.30,4.20,4.00,11.30,13.60,11.30,12.10,2.88,1.40,1.50,2.20,1.70,1.90,1.30,1.70,0,0,0.10,0
1,15345952,"Лига 1, 23-й тур, регулярный сезон, 06.02.2022 16:00",06.02.2022 16:00,Ницца,0,Клермон,1,+24°C,солнечно,1.66,4.1,5.2,2.05,1.86,10,10,(136) 5.7,14.0 (335),70%   7,3   30%,10%   1,2   20%,20%   2,5   50%,12,9,7,13,1.20,0.90,0.70,1.30,50%   5,3   30%,30%   3,2   20%,50%   5,4   40%,50%   5,6   60%,9.50,10.00,13.30,13.67,3.40,3.00,4.20,4.44,47.40,51.78,52.60,48.22,4.90,3.44,5.90,4.33,10.00,11.11,10.44,14.67,1.67,1.13,1.89,1.88,2.70,1.89,2.10,2.00,0.10,0.33,0,0
2,15345953,"Лига 1, 23-й тур, регулярный сезон, 06.02.2022 16:00",06.02.2022 16:00,Реймс,5,Бордо,0,+18°C,солнечно,1.95,3.6,4.05,1.96,1.94,10,10,(186) 7.8,14.0 (335),40%   4,3   30%,20%   2,1   10%,40%   4,6   60%,9,23,10,26,0.90,2.30,1.00,2.60,40%   4,1   10%,40%   4,6   60%,30%   3,9   90%,70%   7,1   10%,9.44,10.00,12.11,18.44,3.22,3.22,4.56,6.33,43.50,41.22,56.50,58.78,7.00,2.89,5.22,6.44,13.75,11.22,12.13,10.11,3.14,1.75,0.71,1.75,2.11,2.11,2.33,1.67,0.22,0.11,0.33,0
3,15345954,"Лига 1, 23-й тур, регулярный сезон, 06.02.2022 18:00",06.02.2022 18:00,Ренн,2,Брест,0,+21°C,солнечно,1.5,4.5,6.65,2.08,1.83,10,10,(337) 14.0,8.8 (211),40%   4,5   50%,0,1   10%,60%   6,4   40%,19,9,10,13,1.90,0.90,1.00,1.30,40%   4,4   40%,50%   5,2   20%,60%   6,4   40%,40%   4,6   60%,14.30,15.10,8.70,13.20,5.80,6.60,2.50,5.00,57.90,44.10,42.10,55.90,5.50,5.40,4.60,5.00,9.40,10.50,9.70,9.40,1.44,1.00,1.56,1.78,1.10,2.00,1.40,1.80,0,0,0.10,0.30
4,15345955,"Лига 1, 23-й тур, регулярный сезон, 05.02.2022 18:00",05.02.2022 18:00,Сент-Этьен,3,Монпелье,1,+13°C,солнечно,2.45,3.24,3.1,1.89,2.01,10,10,(141) 5.9,6.8 (162),30%   3,7   70%,0,0,70%   7,3   30%,7,19,14,9,0.70,1.90,1.40,0.90,20%   2,4   40%,20%   2,5   50%,30%   3,5   50%,70%   7,5   50%,9.20,10.20,9.70,16.90,3.30,4.90,3.90,5.50,52.30,47.40,47.70,52.60,3.90,3.20,3.30,7.00,12.56,10.22,12.33,13.22,1.13,1.75,2.88,0.63,1.50,2.10,1.50,1.70,0.10,0.20,0,0.10
5,15345956,"Лига 1, 23-й тур, регулярный сезон, 06.02.2022 16:00",06.02.2022 16:00,Страсбур,1,Нант,0,+22°C,пасмурно,1.91,3.62,4.2,1.83,2.08,10,10,(335) 14.0,8.7 (209),60%   6,7   70%,10%   1,1   10%,30%   3,2   20%,20,14,11,7,2.00,1.40,1.10,0.70,40%   4,6   60%,40%   4,3   30%,40%   4,3   30%,60%   6,7   70%,15.30,10.90,9.90,11.60,4.80,3.90,3.10,3.70,51.90,46.60,48.10,53.40,4.90,6.10,4.60,4.40,12.20,12.50,10.40,9.80,1.56,1.89,1.22,1.67,1.80,1.50,2.10,1.50,0,0.10,0.10,0
6,15345957,"Лига 1, 23-й тур, регулярный сезон, 06.02.2022 16:00",06.02.2022 16:00,Труа,0,Метц,0,+18°C,переменная облачность,2.22,3.32,3.48,1.64,2.4,10,10,(335) 14.0,14.0 (337),20%   2,3   30%,10%   1,2   20%,70%   7,5   50%,8,11,11,16,0.80,1.10,1.10,1.60,20%   2,3   30%,50%   5,4   40%,30%   3,4   40%,70%   7,6   60%,10.90,10.00,11.20,14.33,3.90,3.11,4.10,5.22,52.80,38.89,47.20,61.11,5.40,3.33,4.50,6.67,13.60,13.44,10.80,10.22,1.70,1.22,1.80,1.67,2.40,2.33,2.60,1.89,0.10,0.11,0.40,0
7,15345958,"Лига 1, 24-й тур, регулярный сезон, 13.02.2022 16:00",13.02.2022 16:00,Анже,0,Страсбур,1,+23°C,переменная облачность,3.06,3.34,2.43,1.71,2.26,10,10,(209) 8.7,7.0 (167),20%   2,7   70%,20%   2,0,60%   6,3   30%,10,20,20,10,1.00,2.00,2.00,1.00,10%   1,5   50%,60%   6,3   30%,60%   6,4   40%,40%   4,6   60%,9.56,15.90,11.56,10.10,3.33,4.70,5.11,3.00,50.56,52.90,49.44,47.10,4.00,5.30,4.00,5.10,10.89,12.00,13.89,10.00,2.00,1.33,2.22,1.33,1.33,2.00,1.78,2.20,0.11,0,0.11,0.10
8,15345959,"Лига 1, 24-й тур, регулярный сезон, 13.02.2022 16:00",13.02.2022 16:00,Брест,5,Труа,1,+18°C,пасмурно,1.97,3.66,3.88,1.91,1.99,10,10,(165) 6.9,7.0 (167),40%   4,2   20%,10%   1,2   20%,50%   5,6   60%,8,8,15,10,0.80,0.80,1.50,1.00,30%   3,3   30%,20%   2,5   50%,40%   4,3   30%,60%   6,7   70%,14.80,10.80,13.80,11.20,6.40,3.90,5.50,3.90,44.50,52.80,55.50,50.40,5.40,5.40,5.30,5.30,10.50,13.10,9.60,11.70,1.11,1.70,1.89,2.00,1.90,2.40,1.80,2.30,0,0.10,0.30,0.50
9,15345960,"Лига 1, 24-й тур, регулярный сезон, 13.02.2022 16:00",13.02.2022 16:00,Клермон,1,Сент-Этьен,2,+25°C,солнечно,2.43,3.38,3.02,1.76,2.18,10,10,(167) 7.0,7.9 (189),40%   4,4   40%,20%   2,0,40%   4,6   60%,10,10,12,14,1.00,1.00,1.20,1.40,40%   4,2   20%,20%   2,3   30%,40%   4,4   40%,60%   6,6   60%,11.11,10.60,13.11,9.20,3.56,3.80,4.44,3.80,50.22,51.80,49.78,48.20,3.67,4.70,4.44,3.20,10.67,12.78,14.33,11.89,1.25,1.25,1.88,2.88,1.78,1.30,1.89,1.30,0.33,0.10,0,0
10,15345961,"Лига 1, 24-й тур, регулярный сезон, 13.02.2022 18:05",13.02.2022 18:05,Ланс,3,Бордо,2,+20°C,пасмурно,1.59,4.5,5.35,2.34,1.57,10,10,(171) 7.1,7.0 (169),40%   4,3   30%,10%   1,1   10%,50%   5,6   60%,12,22,17,29,1.20,2.20,1.70,2.90,20%   2,1   10%,60%   6,5   50%,50%   5,9   90%,50%   5,1   10%,13.33,8.89,10.33,18.67,5.22,2.78,4.11,6.67,54.89,39.67,45.11,60.33,6.00,2.78,4.22,7.00,9.11,11.11,7.89,9.44,2.50,1.75,1.63,2.25,1.78,1.89,1.22,1.56,0.11,0.22,0,0
11,15345962,"Лига 1, 24-й тур, регулярный сезон, 12.02.2022 22:00",12.02.2022 22:00,Лион,2,Ницца,0,+24°C,солнечно,1.87,3.95,4.65,2.25,1.79,10,10,(167) 7.0,2.9 (70),30%   3,8   80%,50%   5,0,20%   2,2   20%,10,16,10,8,1.00,1.60,1.00,0.80,30%   3,4   40%,60%   6,4   40%,30%   3,6   60%,70%   7,4   40%,14.80,9.20,9.10,13.40,4.70,4.00,2.80,4.30,57.90,46.80,42.10,53.20,5.20,4.60,3.50,5.80,13.50,9.00,13.10,10.22,1.30,1.89,2.40,1.67,1.70,2.60,1.70,1.90,0,0.10,0,0
12,15345963,"Лига 1, 24-й тур, регулярный сезон, 13.02.2022 21:45",13.02.2022 21:45,Метц,1,Марсель,2,+20°C,пасмурно,5.4,3.98,1.66,1.91,1.99,10,10,(172) 7.2,3.9 (94),30%   3,6   60%,20%   2,2   20%,50%   5,2   20%,8,20,13,12,0.80,2.00,1.30,1.20,40%   4,3   30%,30%   3,7   70%,30%   3,5   50%,70%   7,5   50%,8.67,17.40,13.67,7.10,2.22,6.00,4.78,3.10,39.67,65.80,60.33,34.20,3.89,8.50,6.89,3.10,13.67,8.56,9.89,8.44,1.22,1.88,1.67,3.88,2.33,1.10,1.78,1.70,0,0.10,0,0.30
13,15345964,"Лига 1, 24-й тур, регулярный сезон, 13.02.2022 14:00",13.02.2022 14:00,Монако,0,Лорьян,0,+23°C,солнечно,1.39,5.15,8.0,2.32,1.58,10,10,(111) 4.6,7.0 (167),70%   7,1   10%,10%   1,2   20%,20%   2,7   70%,21,7,9,18,2.10,0.70,0.90,1.80,50%   5,2   20%,40%   4,4   40%,50%   5,3   30%,50%   5,7   70%,13.50,12.40,12.70,9.40,5.70,3.50,4.90,3.40,53.20,45.30,46.80,54.70,5.40,4.60,4.20,4.80,12.00,9.80,11.50,9.80,2.63,1.40,1.50,0.80,1.50,0.80,1.60,1.60,0,0,0.10,0.30
14,15345965,"Лига 1, 24-й тур, регулярный сезон, 12.02.2022 18:00",12.02.2022 18:00,Монпелье,0,Лилль,1,+25°C,солнечно,2.99,3.4,2.44,1.8,2.12,10,10,(167) 7.0,5.8 (139),60%   6,5   50%,0,2   20%,40%   4,3   30%,17,18,11,16,1.70,1.80,1.10,1.60,40%   4,1   10%,50%   5,8   80%,50%   5,7   70%,50%   5,3   30%,9.50,11.70,17.60,14.90,4.40,4.60,5.60,5.00,46.00,47.40,54.00,52.60,2.80,4.40,7.40,5.50,9.67,9.50,12.89,11.10,1.63,2.89,0.75,1.22,1.90,2.10,1.60,2.00,0.20,0.10,0.10,0
15,15345966,"Лига 1, 24-й тур, регулярный сезон, 13.02.2022 16:00",13.02.2022 16:00,Нант,1,Реймс,0,+21°C,солнечно,2.28,3.12,3.65,1.57,2.56,10,10,(65) 2.7,7.0 (167),70%   7,4   40%,10%   1,2   20%,20%   2,4   40%,15,12,7,9,1.50,1.20,0.70,0.90,60%   6,5   50%,30%   3,3   30%,30%   3,3   30%,70%   7,7   70%,12.20,10.33,10.50,11.22,4.40,3.56,3.90,3.89,48.80,45.00,51.20,55.00,6.80,7.33,3.90,5.33,12.30,12.25,10.20,11.88,1.33,3.29,1.78,0.86,1.40,1.89,1.70,2.11,0,0.22,0,0.44
16,15345967,"Лига 1, 24-й тур, регулярный сезон, 11.02.2022 22:00",11.02.2022 22:00,ПСЖ,1,Ренн,0,+21°C,пасмурно,1.58,4.65,6.5,2.34,1.57,10,10,(119) 5.0,5.1 (123),70%   7,4   40%,20%   2,0,10%   1,6   60%,26,19,4,10,2.60,1.90,0.40,1.00,60%   6,4   40%,40%   4,5   50%,50%   5,6   60%,50%   5,4   40%,17.00,15.10,10.44,8.60,6.33,6.10,3.78,2.60,65.00,58.20,35.00,41.80,7.11,5.70,3.78,4.40,9.67,9.40,11.78,9.40,2.00,1.44,2.56,1.67,2.11,1.20,2.22,1.50,0.11,0,0,0.10
