,id,общая информация,Дата,Команда1,счет1,Команда2,счет2,Температура,Признак погоды,поб1,X,поб2,ТМ 2.5,ТБ 2.5,Отдых: дни (часы) 1,Отдых: дни (часы) 2,Победы 1,Победы 2,Ничьи 1,Ничьи 2,Поражения 1,Поражения 2,Забито голов 1,Забито голов 2,Пропущено голов 1,Пропущено голов 2,Забито голов за игру 1,Забито голов за игру 2,Пропущено голов за игру 1,Пропущено голов за игру 2,Сухие матчи 1,Сухие матчи 2,обе забьют 1,обе забьют 2,Тотал больше 2.5 1,Тотал больше 2.5 2,Тотал меньше 2.5 1,Тотал меньше 2.5 2,Удары 1,Удары 2,Удары  (соперник) 1,Удары  (соперник) 2,Удары в створ 1,Удары в створ 2,Удары в створ  (соперник) 1,Удары в створ  (соперник) 2,Владение 1,Владение 2,Владение  (соперник) 1,Владение  (соперник) 2,Угловые 1,Угловые 2,Угловые  (соперник) 1,Угловые  (соперник) 2,Нарушения 1,Нарушения 2,Нарушения  (соперник) 1,Нарушения  (соперник) 2,Офсайды 1,Офсайды 2,Офсайды  (соперник) 1,Офсайды  (соперник) 2,Желтые карточки 1,Желтые карточки 2,Желтые карточки  (соперник) 1,Желтые карточки  (соперник) 2,Красные карточки 1,Красные карточки 2,Красные карточки  (соперник) 1,Красные карточки  (соперник) 2,тотал,country
2492,15347004,"Примера, 19-й тур, регулярный сезон, 03.01.2022 20:00",2022-01-03 20:00:00,Вильярреал,5,Леванте,0,22,пасмурно,1.4,5.15,7.7,2.41,1.54,13.0,13.9,6,1,1,3,3,6,30,21,13,21,3.0,2.1,1.3,2.1,2,3,6,6,6,8,4,2,16.0,11.7,9.7,10.7,7.2,5.0,4.0,4.8,53.67,49.11,46.33,50.89,6.1,5.1,4.0,3.1,12.8,15.22,10.3,13.44,2.11,2.89,4.0,2.89,1.3,2.7,1.4,2.8,0.0,0.2,0.1,0.2,5,"Примера,"
2493,15347005,"Примера, 19-й тур, регулярный сезон, 02.01.2022 17:15",2022-01-02 17:15:00,Эльче,0,Гранада,0,25,переменная облачность,2.54,3.22,3.0,1.73,2.23,14.8,10.8,3,5,2,2,5,3,13,22,15,13,1.3,2.2,1.5,1.3,2,2,6,6,6,7,4,3,8.0,11.0,15.2,13.33,3.5,5.0,5.8,4.67,53.5,48.22,46.5,51.78,3.6,4.22,4.4,5.0,12.7,11.44,13.2,12.89,1.7,1.78,2.3,3.33,2.4,1.78,1.3,2.11,0.1,0.11,0.1,0.22,0,"Примера,"
2494,15347006,"Примера, 20-й тур, регулярный сезон, 09.01.2022 19:30",2022-01-09 19:30:00,Алавес,0,Атлетик Бильбао,0,11,ясно,3.78,3.46,2.06,1.73,2.23,7.0,2.9,2,3,3,3,5,4,14,11,18,10,1.4,1.1,1.8,1.0,1,3,8,4,7,4,3,6,9.33,13.3,13.22,11.8,3.22,3.7,5.67,4.5,45.88,51.3,54.13,48.7,3.22,5.4,3.56,3.4,16.33,11.6,14.78,12.5,1.67,2.3,2.89,1.0,2.78,1.8,2.44,2.0,0.11,0.1,0.0,0.1,0,"Примера,"
2495,15347007,"Примера, 20-й тур, регулярный сезон, 08.01.2022 19:30",2022-01-08 19:30:00,Гранада,1,Барселона,1,22,ясно,4.55,3.98,1.76,2.21,1.74,6.0,2.9,4,4,3,3,3,3,19,13,13,12,1.9,1.3,1.3,1.2,2,2,6,6,6,5,4,5,11.0,13.1,13.89,8.5,4.89,4.7,4.44,2.8,48.33,62.6,51.67,37.4,4.0,5.0,5.33,2.7,11.67,14.5,13.33,15.2,1.89,2.6,3.11,3.5,1.89,1.8,2.0,2.6,0.11,0.0,0.33,0.1,2,"Примера,"
2496,15347008,"Примера, 20-й тур, регулярный сезон, 10.01.2022 22:00",2022-01-10 22:00:00,Эспаньол,1,Эльче,2,24,переменная облачность,1.76,3.7,5.0,2.05,1.86,5.9,4.0,7,4,0,3,3,3,16,14,13,13,1.6,1.4,1.3,1.3,2,3,6,6,5,6,5,4,12.33,8.4,10.56,13.3,4.67,3.5,3.78,5.6,48.63,52.8,51.38,47.2,5.0,3.3,4.44,4.6,13.11,14.0,15.33,13.7,2.13,2.2,3.13,2.5,2.22,2.5,2.67,1.5,0.13,0.1,0.25,0.1,3,"Примера,"
2497,15347009,"Примера, 20-й тур, регулярный сезон, 08.01.2022 15:00",2022-01-08 15:00:00,Леванте,2,Мальорка,0,25,переменная облачность,2.16,3.22,3.76,1.69,2.3,4.8,2.9,1,4,2,3,7,3,19,16,24,12,1.9,1.6,2.4,1.2,3,4,5,5,8,6,2,4,11.4,11.6,11.8,10.3,5.0,4.6,5.1,3.5,48.89,49.6,51.11,50.4,5.1,4.4,3.5,3.5,14.56,14.4,13.44,15.6,2.89,2.6,2.44,1.2,2.7,2.7,2.6,2.4,0.1,0.1,0.2,0.1,2,"Примера,"
2498,15347010,"Примера, 20-й тур, регулярный сезон, 09.01.2022 19:30",2022-01-09 19:30:00,Осасуна,2,Кадис,0,12,солнечно,1.64,3.55,6.8,1.69,2.3,3.0,3.0,2,4,3,2,5,4,10,13,12,13,1.0,1.3,1.2,1.3,2,5,4,3,4,4,6,6,11.6,10.2,10.6,13.5,3.6,3.5,3.1,4.6,50.4,35.22,49.6,64.78,5.1,4.9,4.1,5.0,11.8,12.11,10.5,12.11,1.9,1.11,2.6,2.11,1.6,1.6,2.0,1.9,0.1,0.1,0.0,0.1,2,"Примера,"
2499,15347011,"Примера, 20-й тур, регулярный сезон, 08.01.2022 22:00",2022-01-08 22:00:00,Реал Мадрид,4,Валенсия,1,24,ясно,1.36,5.9,10.0,2.52,1.5,2.9,3.2,8,6,1,3,1,1,17,21,4,13,1.7,2.1,0.4,1.3,6,2,3,8,4,8,6,2,15.8,11.1,11.2,9.1,5.8,5.4,3.2,4.4,61.1,45.5,38.9,54.5,5.0,5.9,4.9,3.6,9.7,18.0,13.4,15.3,1.7,1.3,0.8,2.3,1.6,3.4,2.3,3.2,0.0,0.2,0.1,0.1,5,"Примера,"
2500,15347012,"Примера, 20-й тур, регулярный сезон, 08.01.2022 17:15",2022-01-08 17:15:00,Реал Сосьедад,1,Сельта,0,22,солнечно,1.88,3.5,4.55,1.76,2.18,3.0,2.8,4,5,1,3,5,2,16,20,15,11,1.6,2.0,1.5,1.1,3,3,4,7,7,7,3,3,10.9,12.1,10.2,10.1,4.7,4.9,4.4,4.1,54.33,56.22,45.67,43.78,6.0,4.1,3.6,4.0,11.0,13.4,13.8,14.9,2.1,3.0,2.0,1.2,1.4,1.7,2.6,2.1,0.1,0.0,0.2,0.0,1,"Примера,"
2501,15347013,"Примера, 20-й тур, регулярный сезон, 09.01.2022 17:15",2022-01-09 17:15:00,Севилья,1,Хетафе,0,24,облачно,1.55,3.74,7.9,1.51,2.74,2.9,7.0,7,5,1,3,2,2,11,14,6,9,1.1,1.4,0.6,0.9,5,5,4,3,2,4,8,6,10.78,11.5,13.0,9.8,3.67,4.33,2.89,3.2,55.0,40.56,45.0,59.44,5.22,3.2,4.67,4.6,12.11,16.44,13.44,10.78,2.44,1.89,1.44,3.33,2.78,2.6,2.22,2.7,0.22,0.1,0.0,0.2,1,"Примера,"
2502,15347014,"Примера, 20-й тур, регулярный сезон, 09.01.2022 15:00",2022-01-09 15:00:00,Райо Вальекано,1,Бетис,1,24,ясно,2.93,3.42,2.47,1.96,1.94,3.7,3.7,6,7,1,0,3,3,13,25,10,11,1.3,2.5,1.0,1.1,3,5,5,4,3,7,7,3,11.7,14.2,8.5,8.1,5.1,6.5,3.9,3.9,53.7,52.56,46.3,47.44,5.5,5.7,4.2,5.1,13.9,13.22,14.8,13.67,2.2,2.67,1.7,3.56,2.2,1.7,2.5,2.0,0.1,0.0,0.2,0.0,2,"Примера,"
2503,15347015,"Примера, 20-й тур, регулярный сезон, 09.01.2022 22:00",2022-01-09 22:00:00,Вильярреал,2,Атлетико Мадрид,2,22,пасмурно,2.62,3.38,3.08,1.82,2.2,3.1,2.9,7,5,0,0,3,5,35,18,12,11,3.5,1.8,1.2,1.1,3,3,6,5,8,6,2,4,15.4,14.0,8.4,8.8,7.4,5.0,3.7,2.8,56.11,51.5,43.89,48.5,5.9,6.3,3.8,3.4,12.2,13.0,10.1,13.7,2.22,2.1,3.89,0.9,1.4,1.4,1.4,2.5,0.0,0.1,0.1,0.2,4,"Примера,"
2504,15347016,"Примера, 21-й тур, регулярный сезон, 22.12.2021 22:30",2021-12-22 22:30:00,Атлетик Бильбао,1,Реал Мадрид,2,19,солнечно,3.5,3.62,2.1,2.06,1.85,3.2,3.0,2,9,5,1,3,0,9,20,10,4,0.9,2.0,1.0,0.4,2,6,5,4,3,5,7,5,12.8,16.9,11.8,12.4,4.4,6.6,3.5,3.7,52.6,59.4,45.0,40.6,6.7,5.2,4.1,4.7,11.6,9.8,13.2,11.9,2.6,1.5,1.4,0.9,1.8,1.4,2.4,1.9,0.2,0.0,0.1,0.2,3,"Примера,"
2505,15347017,"Примера, 21-й тур, регулярный сезон, 16.02.2022 20:00",2022-02-16 20:00:00,Атлетико Мадрид,0,Леванте,1,24,ясно,1.26,6.1,12.25,2.36,1.66,3.9,3.0,4,2,1,1,5,7,21,21,19,25,2.1,2.1,1.9,2.5,2,3,7,4,8,7,2,3,12.9,12.3,9.1,12.4,4.6,5.7,3.5,6.1,51.9,52.33,48.1,47.67,5.7,5.7,3.4,3.7,13.1,15.11,15.4,12.22,2.8,2.56,0.3,2.33,2.0,2.6,2.5,3.1,0.3,0.3,0.1,0.2,1,"Примера,"
